"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"28-cve-2022-0529-and-cve-2022-0530.patch","28-cve-2022-0529-and-cve-2022-0530.patch","","","aarch64-linux","/nix/store/00yq93apw768qlfmhpk0j40ps7plmxd8-28-cve-2022-0529-and-cve-2022-0530.patch","['/nix/store/00yq93apw768qlfmhpk0j40ps7plmxd8-28-cve-2022-0529-and-cve-2022-0530.patch']","/nix/store/vv9bzs908x64km67khvncgp35s2fh85c-28-cve-2022-0529-and-cve-2022-0530.patch.drv","cpe:2.3:a:28-cve-2022-0529-and-cve-2022-0530.patch:28-cve-2022-0529-and-cve-2022-0530.patch::*:*:*:*:*:*:*","pkg:nix/28-cve-2022-0529-and-cve-2022-0530.patch","https://sources.debian.org/data/main/u/unzip/6.0-27/debian/patches/28-cve-2022-0529-and-cve-2022-0530.patch https://web.archive.org/web/20230106200319/https://sources.debian.org/data/main/u/unzip/6.0-27/debian/patches/28-cve-2022-0529-and-cve-2022-0530.patch","","","","","","","",""
"28cc6dbd9b2a141df94f60993256a5fca368fa54.diff","28cc6dbd9b2a141df94f60993256a5fca368fa54.diff","","","aarch64-linux","/nix/store/q2889q9sv8myl9v2q4w88dwy4q9p9m42-28cc6dbd9b2a141df94f60993256a5fca368fa54.diff","['/nix/store/q2889q9sv8myl9v2q4w88dwy4q9p9m42-28cc6dbd9b2a141df94f60993256a5fca368fa54.diff']","/nix/store/4yl1cf30sxla4yqi2s8vir9sdm7z8gvb-28cc6dbd9b2a141df94f60993256a5fca368fa54.diff.drv","cpe:2.3:a:28cc6dbd9b2a141df94f60993256a5fca368fa54.diff:28cc6dbd9b2a141df94f60993256a5fca368fa54.diff::*:*:*:*:*:*:*","pkg:nix/28cc6dbd9b2a141df94f60993256a5fca368fa54.diff","https://github.com/xiph/theora/commit/28cc6dbd9b2a141df94f60993256a5fca368fa54.diff","","","","","","","",""
"2b987f5be1873617f02f24cb6d76196f9aed21bd.patch","2b987f5be1873617f02f24cb6d76196f9aed21bd.patch","","","aarch64-linux","/nix/store/dk80ki7ngji5ivs9hs0ch3gpiws617wn-2b987f5be1873617f02f24cb6d76196f9aed21bd.patch","['/nix/store/dk80ki7ngji5ivs9hs0ch3gpiws617wn-2b987f5be1873617f02f24cb6d76196f9aed21bd.patch']","/nix/store/wmh133y197j0cjigrdhw33x132z10lx3-2b987f5be1873617f02f24cb6d76196f9aed21bd.patch.drv","cpe:2.3:a:2b987f5be1873617f02f24cb6d76196f9aed21bd.patch:2b987f5be1873617f02f24cb6d76196f9aed21bd.patch::*:*:*:*:*:*:*","pkg:nix/2b987f5be1873617f02f24cb6d76196f9aed21bd.patch","https://github.com/ionelmc/pytest-benchmark/commit/2b987f5be1873617f02f24cb6d76196f9aed21bd.patch","","","","","","","",""
"2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch","2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch","","","aarch64-linux","/nix/store/a9y61skwaiqlsfwafxcr8kr7vg4vfdw8-2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch","['/nix/store/a9y61skwaiqlsfwafxcr8kr7vg4vfdw8-2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch']","/nix/store/n0qic1p1zvpdcl4mpcjkhmf22d8ghn8v-2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch.drv","cpe:2.3:a:2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch:2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch::*:*:*:*:*:*:*","pkg:nix/2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch","https://github.com/html5lib/html5lib-python/commit/2c19b9899ab3a3e8bd0ca35e5d78544334204169.patch","","","","","","","",""
"2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch","2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch","","","aarch64-linux","/nix/store/4qi6fff73cwhkziyh9d1rsph0b0wvva2-2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch","['/nix/store/4qi6fff73cwhkziyh9d1rsph0b0wvva2-2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch']","/nix/store/0l6rkflqng2w01fxmmw05l7jzk6hg4is-2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch.drv","cpe:2.3:a:2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch:2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch::*:*:*:*:*:*:*","pkg:nix/2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch","https://github.com/snowballstem/pystemmer/commit/2f52b4b2ff113fe6c33cebe14ed4fd4388bb1742.patch","","","","","","","",""
"32-bit-tests-fix.patch","32-bit-tests-fix.patch","","","aarch64-linux","/nix/store/8bpbkqscpywc5sd8r9i2hmmylf75lln0-32-bit-tests-fix.patch","['/nix/store/8bpbkqscpywc5sd8r9i2hmmylf75lln0-32-bit-tests-fix.patch']","/nix/store/jxrak1i0d8b2lb88z2nc0r3f4wsy66j8-32-bit-tests-fix.patch.drv","cpe:2.3:a:32-bit-tests-fix.patch:32-bit-tests-fix.patch::*:*:*:*:*:*:*","pkg:nix/32-bit-tests-fix.patch","https://github.com/libarchive/libarchive/commit/3bd918d92f8c34ba12de9c6604d96f9e262a59fc.patch","","","","","","","",""
"3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch","3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch","","","aarch64-linux","/nix/store/5xpkd6z16d8b0nghp6ikrp249ygigdvj-3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch","['/nix/store/5xpkd6z16d8b0nghp6ikrp249ygigdvj-3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch']","/nix/store/4bm8qfwmss68dw6h7xzn8jnjjglbwfa1-3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch.drv","cpe:2.3:a:3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch:3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch::*:*:*:*:*:*:*","pkg:nix/3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch","https://github.com/NLnetLabs/unbound/commit/3f5175584b0bb9ff7d417bc195ec6e4316ae58d3.patch","","","","","","","",""
"40c1ccf3432a6787be1801ced721540e34c6cd87.patch","40c1ccf3432a6787be1801ced721540e34c6cd87.patch","","","aarch64-linux","/nix/store/pp94c5dqr68l6v0k116z33ivfn3laz5q-40c1ccf3432a6787be1801ced721540e34c6cd87.patch","['/nix/store/pp94c5dqr68l6v0k116z33ivfn3laz5q-40c1ccf3432a6787be1801ced721540e34c6cd87.patch']","/nix/store/9gxgb4x5jnzbbgysdsz327cjnvy4jsj4-40c1ccf3432a6787be1801ced721540e34c6cd87.patch.drv","cpe:2.3:a:40c1ccf3432a6787be1801ced721540e34c6cd87.patch:40c1ccf3432a6787be1801ced721540e34c6cd87.patch::*:*:*:*:*:*:*","pkg:nix/40c1ccf3432a6787be1801ced721540e34c6cd87.patch","https://github.com/pexpect/ptyprocess/commit/40c1ccf3432a6787be1801ced721540e34c6cd87.patch","","","","","","","",""
"59d98b9ef64e597c331c27160715d7a1b40c8638.patch","59d98b9ef64e597c331c27160715d7a1b40c8638.patch","","","aarch64-linux","/nix/store/8maj3xnkf65v47iqcm3ijy7acnpxlf1y-59d98b9ef64e597c331c27160715d7a1b40c8638.patch","['/nix/store/8maj3xnkf65v47iqcm3ijy7acnpxlf1y-59d98b9ef64e597c331c27160715d7a1b40c8638.patch']","/nix/store/r255yxxgdwq23q22agam2317ihrzlgca-59d98b9ef64e597c331c27160715d7a1b40c8638.patch.drv","cpe:2.3:a:59d98b9ef64e597c331c27160715d7a1b40c8638.patch:59d98b9ef64e597c331c27160715d7a1b40c8638.patch::*:*:*:*:*:*:*","pkg:nix/59d98b9ef64e597c331c27160715d7a1b40c8638.patch","https://github.com/NLnetLabs/unbound/commit/59d98b9ef64e597c331c27160715d7a1b40c8638.patch","","","","","","","",""
"728752d2976ef53fde7e40beb3e55f09cf4d4736.patch","728752d2976ef53fde7e40beb3e55f09cf4d4736.patch","","","aarch64-linux","/nix/store/mbj7cpiv8kk3bsn3bs44xmv6lfwjhsms-728752d2976ef53fde7e40beb3e55f09cf4d4736.patch","['/nix/store/mbj7cpiv8kk3bsn3bs44xmv6lfwjhsms-728752d2976ef53fde7e40beb3e55f09cf4d4736.patch']","/nix/store/li8s7g05h00phfw73h2vs80vprgqn155-728752d2976ef53fde7e40beb3e55f09cf4d4736.patch.drv","cpe:2.3:a:728752d2976ef53fde7e40beb3e55f09cf4d4736.patch:728752d2976ef53fde7e40beb3e55f09cf4d4736.patch::*:*:*:*:*:*:*","pkg:nix/728752d2976ef53fde7e40beb3e55f09cf4d4736.patch","https://github.com/ionelmc/pytest-benchmark/commit/728752d2976ef53fde7e40beb3e55f09cf4d4736.patch","","","","","","","",""
